■ 일별 박스오피스,,,,,,,,,,,,,,,,,,,,,
- 조회일: 2025-09-06,,,,,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2025-08-29~2025-09-05???영화구분: 전체???국적: 한국???지역: 전체 ],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
●2025년 09월 05일(금),,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,매출액증감,매출액증감율(전일대비) ,누적매출액 ,관객수 ,관객수증감(전일대비) ,관객수증감율(전일대비) ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,(전일대비) ,,,,,,,,,,,,,,,,
1,살인자 리포트,2025-09-05,"347,284,730",58.4%,"330,256,730",1939.5%,"372,394,730","36,081","34,189",1807.0%,"38,871",749,"2,647",한국,한국,"주식회사 위드에이스튜디오,(주)엠아이케이스튜디오","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,주식회사 에이투지엔터테인먼트",청소년관람불가,"드라마,스릴러",조영준,"조여정,정성일"
2,좀비딸,2025-07-30,"147,147,490",24.7%,"27,559,790",23.0%,"51,420,308,080","15,631","2,648",20.4%,"5,427,494",693,"1,482",한국,한국,스튜디오엔(주),(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,드라마",필감성,"조정석,이정은,조여정,윤경호,최유리,이주미"
3,전력질주,2025-09-10,"18,692,900",3.1%,"18,692,900",100.0%,"18,692,900","1,813","1,813",100.0%,"1,813",5,7,한국,한국,주식회사 헤이데이프로덕션,"(주)레드아이스 엔터테인먼트,(주)삼백상회",12세이상관람가,드라마,이승훈,"하석진,이신영,다현,이순원,윤서빈"
4,악마가 이사왔다,2025-08-13,"9,537,200",1.6%,"-3,286,500",-25.6%,"4,044,855,110","1,127",-408,-26.6%,"426,314",74,87,한국,한국,(주)외유내강,(주)씨제이이엔엠,12세이상관람가,"미스터리,코미디",이상근,"임윤아,안보현,성동일,주현영"
5,독립군: 끝나지 않은 전쟁,2025-08-13,"8,155,500",1.4%,"5,050,800",162.7%,"400,836,620",967,607,168.6%,"44,358",24,24,한국,한국,"주식회사 블루필름웍스,제니필름",주식회사 블루필름웍스,전체관람가,다큐멘터리,문승욱,조진웅
6,3670,2025-09-03,"9,135,400",1.5%,"1,287,900",16.4%,"43,077,600",946,78,9.0%,"4,636",70,94,한국,한국,오롯필름,(주)엣나인필름,15세이상관람가,"드라마,멜로/로맨스",박준호,"조유현,김현목,조대희,배한솔,임지형,전두식,하승우,윤설,김진이,차미경,유태규"
7,3학년 2학기,2025-09-03,"7,134,700",1.2%,"665,900",10.3%,"45,208,700",732,-72,-9.0%,"5,403",72,81,한국,한국,작업장 봄,작업장 봄,12세이상관람가,드라마,이란희,"유이하,김성국,양지운,김소완,강진아"
8,엔하이픈 브이알콘서트 : 이머전,2025-08-08,"21,252,000",3.6%,"9,603,000",82.4%,"645,186,000",644,291,82.4%,"19,842",1,9,한국,한국,(주)어메이즈브이알코리아,(주)어메이즈브이알코리아,전체관람가,드라마,김경국,
9,K스쿨,2024-02-21,"3,840,000",0.6%,"3,840,000",100.0%,"40,277,900",480,480,100.0%,"5,433",5,5,한국,한국,주식회사 강컨텐츠,주식회사 강컨텐츠,전체관람가,"드라마,뮤지컬",박미경,"남다원,이영준,양예나,정세민,전민기,구슬이,김소현,강세희,박도연,김도현,권혁준,나경민,권혜영"
